type,crm,local_id,uri
object,E22_Human-Made_Object,gnd-1153415100,https://hwgw.uzh.ch/artwork/gnd-1153415100
object,E22_Human-Made_Object,gnd-1153481529,https://hwgw.uzh.ch/artwork/gnd-1153481529
object,E22_Human-Made_Object,gnd-1153491257,https://hwgw.uzh.ch/artwork/gnd-1153491257
object,E22_Human-Made_Object,gnd-1154455149,https://hwgw.uzh.ch/artwork/gnd-1154455149
object,E22_Human-Made_Object,gnd-1155249593,https://hwgw.uzh.ch/artwork/gnd-1155249593
object,E22_Human-Made_Object,gnd-115550271X,https://hwgw.uzh.ch/artwork/gnd-115550271X
object,E22_Human-Made_Object,gnd-1155784456,https://hwgw.uzh.ch/artwork/gnd-1155784456
object,E22_Human-Made_Object,gnd-1155799011,https://hwgw.uzh.ch/artwork/gnd-1155799011
object,E22_Human-Made_Object,gnd-1168162300,https://hwgw.uzh.ch/artwork/gnd-1168162300
object,E22_Human-Made_Object,gnd-1168504201,https://hwgw.uzh.ch/artwork/gnd-1168504201
object,E22_Human-Made_Object,gnd-1173129545,https://hwgw.uzh.ch/artwork/gnd-1173129545
object,E22_Human-Made_Object,gnd-1175439282,https://hwgw.uzh.ch/artwork/gnd-1175439282
object,E22_Human-Made_Object,gnd-117818112X,https://hwgw.uzh.ch/artwork/gnd-117818112X
object,E22_Human-Made_Object,gnd-1182005179,https://hwgw.uzh.ch/artwork/gnd-1182005179
object,E22_Human-Made_Object,gnd-118444479X,https://hwgw.uzh.ch/artwork/gnd-118444479X
object,E22_Human-Made_Object,gnd-1184444846,https://hwgw.uzh.ch/artwork/gnd-1184444846
object,E22_Human-Made_Object,gnd-1184444862,https://hwgw.uzh.ch/artwork/gnd-1184444862
object,E22_Human-Made_Object,gnd-1184444900,https://hwgw.uzh.ch/artwork/gnd-1184444900
object,E22_Human-Made_Object,gnd-118444496X,https://hwgw.uzh.ch/artwork/gnd-118444496X
object,E22_Human-Made_Object,gnd-118444644X,https://hwgw.uzh.ch/artwork/gnd-118444644X
object,E22_Human-Made_Object,gnd-1184446725,https://hwgw.uzh.ch/artwork/gnd-1184446725
object,E22_Human-Made_Object,gnd-1184446911,https://hwgw.uzh.ch/artwork/gnd-1184446911
object,E22_Human-Made_Object,gnd-1184447780,https://hwgw.uzh.ch/artwork/gnd-1184447780
object,E22_Human-Made_Object,gnd-1184448434,https://hwgw.uzh.ch/artwork/gnd-1184448434
object,E22_Human-Made_Object,gnd-1184477205,https://hwgw.uzh.ch/artwork/gnd-1184477205
object,E22_Human-Made_Object,gnd-1184477396,https://hwgw.uzh.ch/artwork/gnd-1184477396
object,E22_Human-Made_Object,gnd-1184478929,https://hwgw.uzh.ch/artwork/gnd-1184478929
object,E22_Human-Made_Object,gnd-1184479445,https://hwgw.uzh.ch/artwork/gnd-1184479445
object,E22_Human-Made_Object,gnd-1184480060,https://hwgw.uzh.ch/artwork/gnd-1184480060
object,E22_Human-Made_Object,gnd-1184480192,https://hwgw.uzh.ch/artwork/gnd-1184480192
object,E22_Human-Made_Object,gnd-1184480370,https://hwgw.uzh.ch/artwork/gnd-1184480370
object,E22_Human-Made_Object,gnd-1184481237,https://hwgw.uzh.ch/artwork/gnd-1184481237
object,E22_Human-Made_Object,gnd-1184494177,https://hwgw.uzh.ch/artwork/gnd-1184494177
object,E22_Human-Made_Object,gnd-1184496404,https://hwgw.uzh.ch/artwork/gnd-1184496404
object,E22_Human-Made_Object,gnd-1184496579,https://hwgw.uzh.ch/artwork/gnd-1184496579
object,E22_Human-Made_Object,gnd-1184504679,https://hwgw.uzh.ch/artwork/gnd-1184504679
object,E22_Human-Made_Object,gnd-1184505284,https://hwgw.uzh.ch/artwork/gnd-1184505284
object,E22_Human-Made_Object,gnd-1184505810,https://hwgw.uzh.ch/artwork/gnd-1184505810
object,E22_Human-Made_Object,gnd-1184506760,https://hwgw.uzh.ch/artwork/gnd-1184506760
object,E22_Human-Made_Object,gnd-1184519730,https://hwgw.uzh.ch/artwork/gnd-1184519730
object,E22_Human-Made_Object,gnd-1184519862,https://hwgw.uzh.ch/artwork/gnd-1184519862
object,E22_Human-Made_Object,gnd-1184521654,https://hwgw.uzh.ch/artwork/gnd-1184521654
object,E22_Human-Made_Object,gnd-1184522057,https://hwgw.uzh.ch/artwork/gnd-1184522057
object,E22_Human-Made_Object,gnd-1184523622,https://hwgw.uzh.ch/artwork/gnd-1184523622
object,E22_Human-Made_Object,gnd-1184523843,https://hwgw.uzh.ch/artwork/gnd-1184523843
object,E22_Human-Made_Object,gnd-1184524025,https://hwgw.uzh.ch/artwork/gnd-1184524025
object,E22_Human-Made_Object,gnd-1184524149,https://hwgw.uzh.ch/artwork/gnd-1184524149
object,E22_Human-Made_Object,gnd-1184524386,https://hwgw.uzh.ch/artwork/gnd-1184524386
object,E22_Human-Made_Object,gnd-1184525390,https://hwgw.uzh.ch/artwork/gnd-1184525390
object,E22_Human-Made_Object,gnd-118452694X,https://hwgw.uzh.ch/artwork/gnd-118452694X
object,E22_Human-Made_Object,gnd-1184527350,https://hwgw.uzh.ch/artwork/gnd-1184527350
